fingerprint,title,author,date,source,source-hostname,hostname
5E8T27SQBmLeER/hLUTQ8rynQ+0=,Mistress Molly and Krell,Jared VanDyke,2017-06-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/mistress-molly-and-krell/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
AKk19mo0SH26b+DwnEl/5HnpD8Q=,What Fools These Immortals Be,Evan Dicken,2017-08-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/what-fools-these-immortals-be/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
/niy6qIbtUcQn+mpByo1F5L1XsU=,Tea and Sanctuaries,Hannah Montine,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/stories-for-young-people-from-4-to-400/tea-and-sanctuaries/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
96LDK94EIBzHvTDRklMgEuCoGcc=,Conspiracy in Theory and Practice,Mike Reeves-McMillan,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/conspiracy-in-theory-and-practice/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
cTEtdcCRxrzDpqqtU1dVebh5T2g=,The Icy Breath of Enceladus,The Icy Breath Of Enceladus,2017-08-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/the-icy-breath-of-enceladus/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
s6xZUIqfraa/Dxc1a3IOgNQ8V+g=,Love Potion,Anne E.G. Nydam,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/love-potion/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
bayxsrqV5fnu49iZpDGcupvttvY=,With the Taste of Oblivion in Her Mouth,by M. E. Garber,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/taste-of-oblivion/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
XD9h23IHtLGcE6hKc0kAcJzKE70=,A Witch’s Junk Drawer,Rebecca Buchanan,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/a-witchs-junk-drawer/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
4ri/eUvnxwf4rin4T1+rhOFHzHI=,Cat and Mouse,L.C. Brown,2018-05-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/catandmouse/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
mHd41WpBr+ywdWpg68pKK2JlR0s=,Presto Change-O,Warren Brown,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/presto-change-o/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
GWY9Fqgqwny86cQ+C2tcPSC184U=,Painting Clouds,A. Merc Rustad,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/painting-clouds/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
6WvVyUU4xsTPPW1A4r4nNOAid5M=,Cosmic Roots And Eldritch Shores,The Trial of St. George,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/the-trial-of-st-george/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
