fingerprint,title,author,issue,date,date,categories,tags,id,license,comments,url,source,source-hostname,hostname,excerpt,filename,has_text
oqB+i8R92FTJ64J+5UzRF2c469c=,Last Ocean Tide Lost in Sand,Penny Stirling,11,February 2019,2015-12-15,,,,,,http://www.capricioussf.org/last-ocean-tide-lost-in-sand/,https://web.archive.org/web/20200210014422/http://www.capricioussf.org/last-ocean-tide-lost-in-sand/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/7C9CNCy9Ykmee0u5RoMknmvFOL4.json,TRUE
Q42zpVn+wHyMzL6pcB5EWTGGg5U=,Grave Weed,Petra Kuppers,6,January 2017,2015-05-01,,,,,,http://www.capricioussf.org/grave-weed/,https://web.archive.org/web/20171211135120/http://www.capricioussf.org/grave-weed/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/3HjK-M7t1M+RHbwCG1DtmQi2R+g.json,TRUE
meqTYuIJKraqIg8zCXV/CZYqCPE=,She Must,A.J. Fitzwater,1,September 2015,2015-05-01,,,,,,http://www.capricioussf.org/archive/she-must-by-aj-fitzwater/,https://web.archive.org/web/20191209072029/http://www.capricioussf.org/archive/she-must-by-aj-fitzwater/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/u8Ovt4mpBPh041I-V48hkBW+BOk.json,TRUE
Qw1Y67KwdHuMFK+8ArK2EqvJpck=,Incubus,Hazel Gold,9,January 2018,2015-12-15,,,,,,http://www.capricioussf.org/incubus/,https://web.archive.org/web/20200210010526/http://www.capricioussf.org/incubus/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/54Vbr4cRK6p+z5MywybvWpykJmg.json,TRUE
++MpgjaLxnbA365UKTVS7S5V4Q4=,The Young Republic,Dan Grace,6,January 2017,2015-05-01,,,,,,http://www.capricioussf.org/the-young-republic/,https://web.archive.org/web/20171211135051/http://www.capricioussf.org/the-young-republic/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/TIJgz0xRagM+d4e0PDhxlNDY9I8.json,TRUE
AyxyN77DHKceKgeR1YyCsVw/PLA=,Acquired Taste,Chad Stroup,4,July 2016,2015-05-01,,,,,,http://www.capricioussf.org/acquired-taste/,https://web.archive.org/web/20161102125947/http://www.capricioussf.org/acquired-taste/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/-MFY5yRpKBhPp7NIBFadxkLTN88.json,TRUE
EpxN2fYgvUXg0w33ekT5gC+urnE=,Nation Building and Baptism,Octavia Cade,10,September 2018,2015-12-15,,,,,,http://www.capricioussf.org/nation-building-and-baptism/,https://web.archive.org/web/20200210201804/http://www.capricioussf.org/nation-building-and-baptism/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/dLPJjWeDlSJ6dOuPhM+uetNB1nU.json,TRUE
8/SA3xjFefs8Z+a/hH2lDXLBcG4=,Our Fantastical World,Joshua Phillip Johnson,8,December 2017,2003-04-26,,,,,,http://www.capricioussf.org/our-fantastical-world/,https://web.archive.org/web/20200210045354/http://www.capricioussf.org/our-fantastical-world/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/JJ0fPcPjawvvfDsH6SUCk56tcUc.json,TRUE
A7KqJwea8rQML83MTlUu3gYv070=,Bad Dreams,Anika Morshed,7,May 2017,2017-12-07,,,,,,http://www.capricioussf.org/bad-dreams/,https://web.archive.org/web/20181007190926/http://www.capricioussf.org/bad-dreams/,Capricious SF,capricioussf.org,by Anika Morshed Let me give you a dream of lavender and mint against indigo sky. Let me show you pinpricks of light that break through dark to shimmer and dance on ice and water. Let me fill your ...,./scrape/jsonfiles/vNP7au+Xq3+JJEUnJzQGzSiwfUs.json,TRUE
RD8psZ2/f9Jeh2Mxck9qtKG0Ex4=,Glittering; Guttering,Crystal Lynn Hilbert,3,April 2016,2015-05-01,,,,,,http://www.capricioussf.org/glittering-guttering/,https://web.archive.org/web/20161102130043/http://www.capricioussf.org/glittering-guttering/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/CozhI1bSWbhgJyCldYj5qY7jSTI.json,TRUE
