fingerprint,title,author,date,categories,tags,id,license,comments,source,source-hostname,hostname,excerpt,filename,has_text
hcI1kssSjFuSvDaqd42jL2Oqekc=,Simon’s Replica,Dean Francis Alfar,2012-10-02,Short Fiction,Apex Magazine;Dean Francis Alfar;Issue 41;Reprint;Short Fiction 2;Simons Replica,4128,,,https://apex-magazine.com/short-fiction/simons-replica/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/BYw3HakXcb-E8DlYG9e43yQSA4I.json,TRUE
0jEp0J7NfbNTn6vBx3ZYeZvw+HI=,Reproduction on the Beach,Rich Larson,2023-03-30,Short Fiction,Apex Magazine;Cw;Issue 136;Reproduction On The Beach;Rich Larson;Short Fiction 2,62233,,,https://apex-magazine.com/short-fiction/reproduction-on-the-beach/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/wDvam0SHp1X67ILv9Y3h6X2n7qM.json,TRUE
hIue7fNh3BbqbYkEJ8tYcXS8riE=,Jupiter and Gentian,Erik Amundsen,2014-08-04,Short Fiction,Apex Magazine;Erik Amundsen;Issue 63;Jupiter And Gentian;Short Fiction 2,8240,,,https://apex-magazine.com/short-fiction/jupiter-and-gentian/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/J9NSdrtvzdKueKZpLn6yv85KcSE.json,TRUE
KfJNbV6gwdX7Rh0Y5pND51LvhrU=,Ironheart,Alec Austin,2012-07-03,Short Fiction,Alec Austin;Apex Magazine;Ironheart;Issue 38;Short Fiction 2,1826,,,https://apex-magazine.com/short-fiction/ironheart/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/sh34Vea4OufIdf+8efkgrmRKeuM.json,TRUE
RKvFh5H0znlvwOzRUHCdjDi9MPI=,The Heaven-Moving Way,Chi Hui,2018-01-11,Short Fiction,Apex Magazine;Chi Hui;Issue 104;Short Fiction 2;The Heaven Moving Way,14388,,,https://apex-magazine.com/short-fiction/the-heaven-moving-way/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/Eb8+owY6bsJkNC5jyyV+4ruZ2T8.json,TRUE
vUyGUrjCxs+z6mjlsWWGZzEr2LA=,"If You Were a Dinosaur, My Love",Rachel Swirsky,2013-03-05,Award Nominees;Hugo Award;Nebula Award;Short Fiction;World Fantasy Award,Apex Magazine;Award;Hugo Award;If You Were A Dinosaur My Love;Issue 46;Nebula Award;Rachel Swirsky;Short Fiction 2;World Fantasy Award,4986,,,https://apex-magazine.com/short-fiction/if-you-were-a-dinosaur-my-love/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/sPW4raTZrodQvp3kVgvU8bZl+Lo.json,TRUE
vVUbeEr+RxVrHZyoq2zv/ST0QOY=,"The Faithful Soldier, Prompted",Saladin Ahmed,2010-11-08,Short Fiction,Apex Magazine;Issue 18;Saladin Ahmed;Short Fiction 2;The Faithful Soldier Prompted,1158,,,https://apex-magazine.com/short-fiction/the-faithful-soldier-prompted/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/JmvY3YkdiosRd+n-pf-+eZP7puM.json,TRUE
082+9QnlUlK8bQe/DErZ3U5arvw=,A Revolution of One,Brian Keene,2015-02-03,Short Fiction,A Revolution Of One;Apex Magazine;Brian Keene;Issue 69;Reprint;Short Fiction 2,9163,,,https://apex-magazine.com/short-fiction/a-revolution-of-one/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/sPVgYEMRk7qF8PVifRtfC7m3dh4.json,TRUE
k+v0ZA5bZtA2PE3I5yRExMLNph0=,A Beautiful Memory,Shannon Peavey,2015-03-03,Award Nominees;Shirley Jackson Award;Short Fiction,A Beautiful Memory;Apex Magazine;Award;Issue 70;Shannon Peavey;Shirley Jackson Award;Short Fiction 2,9238,,,https://apex-magazine.com/short-fiction/a-beautiful-memory/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/8YNth0sFH1LmW2Kwjzsy3-N87sM.json,TRUE
I7vDfdXmODA1blzMFwob/HKRazI=,Artifact,Peter Atwood,2010-07-08,Short Fiction,Apex Magazine;Artifact;Issue 14;Peter Atwood;Short Fiction 2,4591,,,https://apex-magazine.com/short-fiction/artifact/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/SB2CeVq-PAKTX3Ade87gfZeomCc.json,TRUE
