fingerprint,title,author,date,categories,tags,id,license,comments,source,hostname,source-hostname,excerpt,filename,has_text
7daL10wt0ap+m7QNGMgMjstPQnM=,Cricket Swing,H. Pueyo,2016-11-01,,,,,,https://www.bourbonpenn.com/issue/12/cricket-swing-by-h-pueyo,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/GNNYXwTYriFRJN8CL-62-Jvl9cc.json,TRUE
jbg+G/EsZW2wLNzw5sMKsy7wWQ4=,Sister,Paige Powell,2020-11-10,,,,,,https://www.bourbonpenn.com/issue/22/sister-by-paige-powell,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/tgdAiCs3DRj9jQ13-0NEbashRE0.json,TRUE
CT2rIP5Cqtz9ACDXI/8pKWnxbOw=,"Stars, Your Light Belongs to Us",Jen Julian,2022-10-23,,,,,,https://www.bourbonpenn.com/issue/28/stars-your-light-belongs-to-us-by-jen-julian,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/zKV+l+kdBvMjN9cdvTKH80mdHX8.json,TRUE
bSQaoGoVa51N84Qyt51TqBWefXY=,A Trip to Venus,Michael Johnson,2011-11-01,,,,,,https://www.bourbonpenn.com/issue/3/a-trip-to-venus-by-michael-johnson,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/uGgw8MVV-b7lmQE7NTZcu6Wf2k4.json,TRUE
sfSGf9OyivwLzMUFSTPlpMAzrAE=,After the Bees,Carson Beker,2012-04-01,,,,,,https://www.bourbonpenn.com/issue/4/after-the-bees-carson-beker,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/4wa1OJng+8dnI61kP5XMuPqJtlg.json,TRUE
p0yS47ZrF7KCJ1jDsmPrGYN8r/w=,Make Believe,Joshua Daniel Cochran,2011-02-01,,,,,,https://www.bourbonpenn.com/issue/1/make-believe-by-joshua-daniel-cochran,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/6-YTFd6PcpCDPo6AfCpD88g5EJo.json,TRUE
pToVW0RErPhUrN3cLPeR6p4hKOs=,The Librarian,Aliya Whiteley,2016-04-01,,,,,,https://www.bourbonpenn.com/issue/11/the-librarian-by-aliya-whiteley,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/CiH+6XFM-UWIljtmb-8BJV4dtzY.json,TRUE
H8+PmVl/O2C4i5Od/jRiEinMsSg=,Lazaret,Louis Evans,2021-11-24,,,,,,https://www.bourbonpenn.com/issue/25/lazaret-by-louis-evans,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/o0AY1mP5iRRl2p2+uLiA27HNzDE.json,TRUE
OJnfBIGNdvK6OptesFBbT7M4ZS8=,She Would Walk Them,Daisy Johnson,2018-11-01,,,,,,https://www.bourbonpenn.com/issue/16/she-would-walk-them-by-daisy-johnson,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/43kEvV-k0Gx76mPO3xhS0paR2DA.json,TRUE
VuX1YgCJpwN1iYrmVjKSt5acUlM=,"Twenty-Seven, Genius Loci",B. Pladek,2019-11-01,,,,,,https://www.bourbonpenn.com/issue/19/twenty-seven-genius-loci-by-b-pladek,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/lwwPzvfz8ayfGSUB+2aDf73YpgE.json,TRUE
ghiFbAmzVjoIT/hkV25ytrOLbos=,Your Fairy is Serenity Elfsong,Samantha Henderson,2013-05-01,,,,,,https://www.bourbonpenn.com/issue/7/your-fairy-is-serenity-elfsong-by-samantha-henderson,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/wU630ZtuPrbw+46Msyf1zqBZ7Tw.json,TRUE
pgtFizay2DIkWQpHQPZxKzfp13w=,American Marsupial,Clifford Garstang,2012-09-01,,,,,,https://www.bourbonpenn.com/issue/5/american-marsupial-by-clifford-garstang,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/gkEGb8VGvLVYvnkEWOrg6SNYxFI.json,TRUE
dkg2KqRxHNJKcxwfDsE74ERGgHU=,Watermark,Ken Hoover,2015-03-01,,,,,,https://www.bourbonpenn.com/issue/10/watermark-by-ken-hoover,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/FL9ahgxWLqPekicez-l+2972B6g.json,TRUE
9a8r4lgGjXUoZXWyTsyB628EotQ=,The Very Civilized Execution of Walter Grimley,William Jablonsky,2017-04-01,,,,,,https://www.bourbonpenn.com/issue/13/the-very-civilized-execution-of-mr-walter-grimley-by-william-jablonsky,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/tKw+mZUNBjnSgA3DNU2Nu++Pyro.json,TRUE
NnZunEzQi5ZP/9pRVKml9hOjbTg=,Reception,Ray Carns,2011-02-01,,,,,,https://www.bourbonpenn.com/issue/1/reception-by-ray-carns,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/3s1HgnXoKl36cL-mH8Mx+35YnwI.json,TRUE
cwZLO3SIRn251zIXwFDBDBmDp90=,The Bone Men,George Edwards Murray,2019-03-01,,,,,,https://www.bourbonpenn.com/issue/17/the-bone-men-by-george-edwards-murray,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/deDAfbMpN93zfmz+UHigGpUbX9M.json,TRUE
rjKU6Htq5GxMIddxZXAR4rpFxm4=,The Attack of the Forty-Foot Cobra Women,George Everet Thompson,2017-09-01,,,,,,https://www.bourbonpenn.com/issue/14/the-attack-of-the-forty-foot-cobra-women-by-george-everet-thompson,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/n5FpogTwUofjCPCJIhSumBSxEfI.json,TRUE
pMTlOfaS6RAnXLWcDWNOcTQDK8s=,The Mall,Hannah Lackoff,2012-04-01,,,,,,https://www.bourbonpenn.com/issue/4/the-mall-by-hannah-lackoff,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/bhuxq+BC25eXbFt978V4Yj1hauw.json,TRUE
OqKecGd5HWj9RYehFZTClJNpKKM=,Sensorium,Josh Pearce,2018-03-01,,,,,,https://www.bourbonpenn.com/issue/15/sensorium-by-josh-pearce,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/DZudhOC1zAzU7bHHEJEfb-fJWEw.json,TRUE
h7OPKXLoTKa3TMERrA4CtlLEkXE=,The Tick and the Tocking,Chelsea Sutton,2014-02-01,,,,,,https://www.bourbonpenn.com/issue/9/the-tick-and-the-tocking-by-chelsea-sutton,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/6ktOEe0gFgKXEnOsWCR6Vy85pew.json,TRUE
uVaYCOzGyP+RCS8B8IlYGdp34KI=,Ten Thousand Cranes,Julie Reeser,2023-03-01,,,,,,https://www.bourbonpenn.com/issue/29/ten-thousand-cranes-by-julie-reeser,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/1JPJZ-DqK8nD9tGjs2Fa4VzRFCc.json,TRUE
