fingerprint,title,author,hostname,date,categories,tags,id,license,comments,source,source-hostname,excerpt,filename,has_text
zn2tiTMff4AHFQGlVXk3M2b9RxI=,Special news regarding scifidimensions' Original Fiction,,,2006-01-01,,,,,,,,,./scrape/jsonfiles/xnZc7x3Sndv2cf5TjFHMcSYs24E.json,True
sl2TxxLcUUoF2SGiFF/NVGY8saw=,The Kindling Andrea L. Vaughn Science Fiction Short Story,,,2002-01-01,,,,,,,,,./scrape/jsonfiles/O5Su4-jKkt4QmSrx60W7rXr7dy0.json,True
Du/OwDMbwEyU/iCVuTgj2+4JDDE=,"Sleep, Perchance to Dream by Robert Turley",,,2004-01-01,,,,,,,,,./scrape/jsonfiles/vC9d32ALlZsfoB-008pXPMTwF+g.json,True
ylkQQ1aXEGc6xSOXNE4lXjpmZI8=,Enti'ilu by John C. Snider,,,2000-01-01,,,,,,,,,./scrape/jsonfiles/mIt7H5UaIJDBgsuWJWWPiWitBuk.json,True
gUkiM9YJwZJ2P0GvxsS0n51cztQ=,Omnichron of Ingersoll by John C. Snider,,,2000-01-01,,,,,,,,,./scrape/jsonfiles/gguq74Y5FU7r26PrKqLOglnhZaw.json,True
ck4DFql4wpxfD8Warn/FinUK7g4=,“We’ll steal it. What’s his name?”,,,2005-01-01,,,,,,,,,./scrape/jsonfiles/lU1wwyRjcipyt-N9UlNuL9wRsHc.json,True
yXwDj+fkYolPgL3wwyi6hLxbrEo=,The Long Road,,,2000-01-01,,,,,,,,,./scrape/jsonfiles/AuNz3LJu7Rk51j6hlBUz5lIcODM.json,True
6NrniQj5WZ9ZFNisilsYkmILoM0=,The Final Exit of Homer Bellwood Wiggington (Caution),,,2002-01-01,,,,,,,,,./scrape/jsonfiles/dhYtHZ-0RdUDqUGxnrFKahlcEn8.json,True
k7ntTPAuFU6jsE/5GY3C+4PWxZo=,ASFS 3rd Annual Science Fiction Contest,,,2002-01-01,,,,,,,,,./scrape/jsonfiles/j+4WQS4SAttGcQEdA8p3ZU8t3f8.json,True
Ojmrxhn0VJEh+VbjP7nV61/6lNM=,"Pudgy Bear in Dreamland, Warren Brown, Science Fiction Short Story",,,2001-01-01,,,,,,,,,./scrape/jsonfiles/DtDjTJxyraiKxCS2RPD9mkvJ9Ho.json,True
+hLcBRw5cDnYxgYLNXVc46rGMbc=,Metamorphosis,,,2002-01-01,,,,,,,,,./scrape/jsonfiles/gchuw7XheXAl0EQlrynsekGkHy8.json,True
m83WLVbVst7AMk8/qfjcc8ClSP8=,A Body for Sal,,,2001-01-01,,,,,,,,,./scrape/jsonfiles/F5jrqqCgnfJPLbiaJi7gcYCyre8.json,True
ou6AK8BJUCO0BlQz82wDuNYBKLE=,"Death and Toil, Ralan Conley, Science Fiction Short Story",,,2001-01-01,,,,,,,,,./scrape/jsonfiles/GMzJ9CMNHSGBmPXUll+OxwDwY1I.json,True
ovbLzhM2H67RS5gp6YvNcW1ceZE=,"Forever, Goodbye by John C. Snider",,,2000-01-01,,,,,,,,,./scrape/jsonfiles/k4kM8HtEOTjVCTHt86I6oO7Bhgc.json,True
gC1ZjLptQxIpU8jeC9mdEHRNuSY=,"One Starry Night by R. Scott Russell, Science Fiction Short Story",,,2000-01-01,,,,,,,,,./scrape/jsonfiles/8YnMuhuIPNQzYQAwRdtHMnAHBLU.json,True
AqsbFpdTarnBiHF6psats46i3PQ=,SciFiDimensions,,,2014-12-29,,,,,,,,,./scrape/jsonfiles/qFHTf2a2Kiux-+WlJWA4N7ZCHuQ.json,True
