fingerprint,title,author,date,tags,excerpt,source-hostname,hostname,source
AzqAEMWdXuCki/MFDnxD/IjnudY=,The Star Plague,Rich Larson,2019-10-28,,"There is no lamplight inside the chapel. Bragi tries to fill in the shadows with what he remembers of the room. He knows there’s a wide open space, where the priests kneel, and beyond it the gold-gilded altar where no blood is ever spilled. The staircase to the bell tower is off to the left. Bragi sees no crouchers in their path. He motions for the priests to pass him. Something moves in front of the altar.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-star-plague/
VTQeK8Fdsh/gXlf4S4V43Beg+Vs=,The Angel Azrael Encounters the Revelation Pilgrims and Other Curiosities,Peter Darbyshire,2022-04-24,,"“Old bones like those back in the shop just have a little smouldering spark of power left in them,” Azrael said. “Bibles, though, they’re like lightning bolts. Ain’t many that can handle them without getting destroyed. And I ain’t seen any protective wards on you nephilim like on these pilgrims.”",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-angel-azrael-encounters-the-revelation-pilgrims-and-other-curiosities/
QTE9wd86qlksYIkklIGQr0slct0=,Not the Worst of Sins,Alan Baxter,2014-05-19,,"Staring up at the stars, I hear the footsteps with plenty time to spare. Two sets, trying to sneak around behind, in the dark beyond the glow of my dying fire. Graham Masters shimmers into view and opens his mouth to warn me, but I just nod and slip my pistol from its holster. So many times, desperate people will try their luck on a hapless traveller. It ain’t the first time for me. Won’t be the last.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/not-the-worst-of-sins/
viZnzRbqEuzUOG1DVNbTk+bXUZ0=,Of Thinking Being and Beast,Michael J DeLuca,2009-02-06,,"It wasn't just the minotaur's life in Boreas's hands. If Eurytus won the wager, the two human rebels would die center stage at the Circus, under torture, giving up everything they knew. Eurytus would rob them of dignity, hope, faith. If they had any left.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/of-thinking-being-and-beast-by-michael-j-deluca/
I6lte1RMNJRslnZUxtrW8tV/BDU=,Salvage,Margaret Ronald,2022-11-18,,"The lenses continued to strike as I leapt over Phidias. I wrenched Lundqvist's stylus from the socket, heedless of the damage I did to both. ""Professora Lundqvist!"" I shouted, peering at her sensor ring and the brain beyond. But the walls continued to keen, and Lundqvist's phonograph remained silent.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/salvage-by-margaret-ronald/
j1mXaQQ1nkXMpYcxDIjKTFMHTac=,"Our Fire, Given Freely",Seth Dickinson,2014-04-17,,"Rider Bray leans forward on her hands, a cat before a bird. “I could kill your gang of sixty in a minute,” she says. “I could snap their bones with my bare hands and run them down as they fled. I could do the same against six hundred. I am invested with the might of so many, Marantic Lind. No number of men lit by one solitary fire can match me.”",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/our-fire-given-freely/
ThwkUp1IfcFPt29WOmPzE1IqeMw=,The Castle That Jack Built,Emily Gilman,2022-11-18,,"He had heard rumors, when he was working for the bears, that their prince had fallen in love with a human girl, and that she had been the one to betray him. The prince, the young man who should have been a bear, was the reason why the castle must never fail, the reason why Jack must never speak.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-castle-that-jack-built-by-emily-gilman/
4Qr1grlHTTcDhPFfOpCpNots0iU=,‘His Crowning Glory’: a new tale of the Antique Lands,Noreen Doyle,2022-11-18,,"Jon went back tomorrow and the next day, to find that she had no news. On the third day, Iánheh was not at the Bab-ál-Lámeh at all. And so he worried. As did Pendergast, whose private fretting about 'His crowning glory' became more intense, at least in Jon's presence. ""Here I am working to possibly no end, and you—you sniff around the place like a street dog!"" he snapped when Jon came 'round on the third day and would not leave the office. ""Don't you have some child to tutor, some view to photograph, somewhere else to be—something to look for?""",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/his-crowning-glory-a-new-tale-of-the-antique-lands/
GtHHOeAnmo1ot+Fv6wy5nokN8tI=,Sand-Skin Man,K C Shaw,2009-01-02,,"I held my father while he died. It was all I could do, but I whispered fiercely, ""Father, I'll get your sword back one day. One day when he least expects it."" I'm not sure Father could hear me by then, but I never forgot my promise.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/sand-skin-man-by-k-c-shaw/
GBnyKhwsAbKb3OfVuyA5zoX10ac=,The <i>Swallow</i> and the Sea,E Catherine Tobler,2010-09-21,,"Abigail meant to kill herself that night, and if the leap from the rain-slick stone tower of her home didn’t do it well enough, surely the cold depth of the sea would. I watched her pace at the top of that tower, back and forth before one weak torch, and took another pull on the wine bottle. My vision blurred under the blowing rain; the wine took it a step further.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-swallow-and-the-sea-by-e-catherine-tobler/
yJlC6/WibqlTQkwmqCjP3jPZKUs=,The Blighted Godling of Company Town H,Beth Cato,2022-11-18,,"""Take a look. I have them here with me. Please, godling."" The girl's fear seeped into the words—as did her faith that Dreya would make everything right again. Dreya was unworthy of such devotion, but she drank it in nevertheless.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-blighted-godling-of-company-town-h/
8qWMa2qhGfe3nZ+1+S37Urrl+fI=,A Manslaughter of Crows,Chris Willrich,2021-10-23,,"The moth-eaten republican institutions of ancient Eldshore had been re-tailored with egalitarian trappings by Pirate Empress Zayne fifty years ago, and officials were now Chosen every year by a thin slice of citizens. Zayne had labeled those who were eligible to stand for office, and to participate in the Choosing of the officers, the Free Brethren, in model of the Spiral Sea corsairs she’d dallied with in exile. She’d still been firmly in charge, but many decisions had been left to a consensus of the officers in much the manner of corsairs choosing their captains, or their targets.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/a-manslaughter-of-crows/
n6MLe9fYHY1tfivqhKYK3cCj2P8=,The Fairy Gaol,Heather Fawcett,2022-11-18,,"I do not want his scrutiny now, with the cool blade of the dagger pressing against my thigh. On the nearest dance path, a woman laughs as a fat prince covers her ears and throat with wet kisses. I feign interest as he spins her across the path, through the starlight that pours into the atrium. Unbidden, I picture our last dance together, on a night so similar and so different.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-fairy-gaol-by-heather-fawcett/
CcTe/C4veAsJDOyyN9hKH1ZGh9g=,Bone Diamond,Michael John Grist,2022-11-18,,"""Shh,"" I whisper. I lift my bone shears and disconnect his left clavicle at the articular process, snap it at the foramen. He is screaming but I do not hear it. The smooth shank of bone sucks out of the trembling meat of his back, and I hold it up to the gathering dawn light. There, buried in the center, is a diamond, blazing a deep and furious red at its heart.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/bone-diamond-by-michael-john-grist/
vBWrALpd3zy6DRsXHoXCzjy2zZI=,Such Were the Faces of the Living Creatures,Josh Pearce,2018-03-14,,"""What the damn hell, child?"" She points at the shadows alongside the track, which are turning silver-liquid and flowing down the hillsides towards us. Standing up and looking at us. Something odd about these bandits, odd about their skin, which crawls with a life of its own as they move about along the train cars, stretches of skin being pulled off in big, looping Lorentz tangles.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/such-were-the-faces-of-the-living-creatures/
/KUYVwQJC0AHvTHiIqHEOb4bYUw=,The Sweetness of Honey and Rot,A Merc Rustad,2018-07-26,,"Jiteh remembers when Gurteh, father of the spring's tithe, broke down sobbing and refused to drink. The sloths skinned him as they had the tithe and added his flesh to the broth. Each villager was then made to drink two spoonfuls. No one has refused since.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-sweetness-of-honey-and-rot/
fFxsryk9kAyF5vX/Q7bFqqpWmkY=,"The Past, Like a River In Flood",Marissa Lingen,2020-08-29,,"It was a very strange feeling to be past forty and creeping about my old college quad under cover of darkness with my old college advisor who was bald, had a bad knee, and usually went to bed at half eight. Were it not for the flooded Potions Vault and its hauntings, I think Jermiah would have retired five years since, but he had to see it through, and now the only way he could see to do that was to bring me in. My stomach twisted, that I was his last hope.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-past-like-a-river-in-flood/
L5P6vOmqdoJqF8lmJ22Z5QPIhDk=,Throwing Stones,Mishell Baker,2010-07-17,,"The body was my own, and not my own. It was no mere trick for others’ eyes; my very joints seemed strung together more loosely, and my breasts ached under the tight bindings I had always worn. By the end of each night I had nearly adjusted to this female form, only to be wrenched back to my natural male one at the first whisper of dawn.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/throwing-stones-by-mishell-baker/
VQXwbHmuUd+5H5MykwM6oxfTaAs=,"Bent the Wing, Dark the Cloud",Fran Wilde,2015-09-08,,"In the sky behind, a group of children Calli's age swooped and dove in unison, followed by one of the tower's magisters. Calli heard scraps of song. A lesson about wind shifts. The students' wings cut patches of bright color in the deep blue air. Calli knew each span and spar, even from this distance. She'd tested them all.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/bent-the-wing-dark-the-cloud/
KOw/1josY/F7trRgF2FKCFeEf8M=,The Bone Flute Quartet,K J Kabza,2019-05-20,,"Experimentally, I played a few notes on the bone flute from High-Flying Jack. Gently, the sky gathered me up into its cool arms. And in no time at all, I was flying south over fields and forest, as true as an assassin's arrow.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-bone-flute-quartet/
iI2KI0z4oToLRMC8PVzlNQkg3Wo=,Six Seeds,Sara M Harvey,2010-01-23,,"Of course, this was very nice for all the other women of the world, but not for me. For me, Dollies were the chore of my life: winding them, bathing them in oil, mending gears and joints, and keeping good care of their pricier parts which pleasured the men. I cannot say that I hated it, nor that I was fond of it, only that it was my task every single day to care for these immortal metal beauties.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/six-seeds-by-sara-m-harvey/
phBy1EQjNfn7WtQXQmNdgrK05fY=,Anything You Lose Comes Round in Another Form,Jennie Evenson,2022-11-18,,"The beach had narrowed to a sliver, but there was still space to sit and watch the fisherman skiffs. Fewer and fewer returned with troughs full of silverfins these days. It had been sixty moons since I had last tended to the sea. I hadn’t done it since the day Deniz was born. I had no intention of ending up like my mother, and I wasn’t going to let Deniz waste his life, either. If the sea expanded, so be it. Let it be angry—I had my son.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/anything-you-lose-comes-round-in-another-form/
9jXe8GmXEXnG+shf8hJJ5Ieo0Gc=,The Only Way Out is Through,Summer Fletcher,2022-11-18,,"True horror settled over Dagn when Rille's distinctive heavy tread scuffed on the hall’s stone floor, drawing nearer. Just her luck. On the eve of the invasion's final stroke, of course she’d be standing inside a dark room with the Boar’s eldest child dead on the floor. Stupid and predictable.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-only-way-out-is-through/
chJAUgYHcSJmSI2gdzOPax0xf90=,Dying on the Elephant Road,Steve Rasnic Tem,2022-11-18,,"Abe experienced the odd sensation of Madame Oljon inside his head aligning her face with his, pushing eyes and lips forward past his own as they both stared at the small figure near the center of the room sitting cross-legged on a high cushion, naked save for a loincloth, smiling idiotically (not unlike, Abe thought, the wizard Philoneus’s own idiotic smile).",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/dying-on-the-elephant-road-by-steve-rasnic-tem/
mXxBoGexgNwH3JkhAKS2H9bxecg=,The Lingering Weight of Estrian Steel,Rajan Khanna,2021-10-07,,"What Stafe left unspoken was what had been gnawing at him since he’d met Viktor. By remaining in Ofra, Stafe had become a traitor to the Crown. Viktor, if he chose to be an upstanding and honorable knight, could right that wrong. Stafe’s head could sit beside the dragon’s organs for Viktor's journey home and would surely earn him more titles, lands, and the king’s favor.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-lingering-weight-of-estrian-steel/
HsLyGkDeHVjZ4B9vCiAqjZS0/k4=,Steady on Her Feet,K J Kabza,2022-11-18,,"Holliday's face grew hot. ""I go to the schoolhouse, same as anyone here in the up-there, and the marms give us history lessons. I know all about revolutions and what like. And guess what? We all will live in real houses someday. One of Runsdown's mudlarkers will get too angry, and they'll start everything, and you and everyone else in the up-there will be sorry.""",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/steady-on-her-feet/
Jc+9lpVp5M8mpYBHaOYqGqgaVQw=,Butterfly House,Gwendolyn Clare,2022-11-18,,"The first dozen or so corpses Yinghua paused to examine yielded nothing. By then her nostrils were so full of the death-stench that proximity to any particular corpse hardly mattered, and her nausea began to settle, as if her body were reluctantly coming to terms with the situation. She saw the carnage in the abstract—this was not a severed limb or a split skull, it was simply part of a butterfly habitat.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/butterfly-house/
4WTltVRx7mC4SIEOOrBJhuMA+lk=,A Nickel For The Burlap Man,Patty Templeton,2022-03-13,,"The trestle bridge caught fire in 1911. Crisped from existence, right as a locomotive crossed. The train dropped. The ravine caught it. There’s that banjo tune from back then, something about bone and coal and iron and souls. Sad song about a sad day and fairly accurate. It has a verse about the corn, too.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/a-nickel-for-the-burlap-man/
4506X0/GcOx0H/Zjl/W2GadLhAQ=,Bandit and the Seventy Raccoon War,Don Allmon,2022-11-18,,"Next morning, they'd hardly gone a mile when the boy found something dead. He crouched over it. He called Jacsen over. ""It's a raccoon, ain't it?"" the boy said. Jacsen stared at the carcass from his saddle. ""It looks just like you,"" the boy said, awestruck. His words rang ill and Jacsen felt suddenly sick. Heat sick maybe and he needed some water.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/bandit-and-the-seventy-raccoon-war/
7qCJE2jIbCt4z0jGhTjs9mNgytU=,Silver and Seaweed,Greg Linklater,2022-11-18,,"But where could he be going? She had to find out. He almost never left since the second accident. And what about that locket had enraged him? It could be a trap, one of his loyalty tests; he could be waiting just outside to spring on her the moment she disobeyed him, but the risk was worth it. He made threats and turned nasty on occasion, sure enough, but he needed her more than she needed him now, so no chance he would do anything irreparable to punish her.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/silver-and-seaweed/
b0xfrFiMSYyNUnjh79PX42QngX0=,Swimming Apart,R Z Held,2022-11-18,,"Deania appreciated the apology, but it was as heavy as everything else about this meeting. Where was their laughter? She knocked her shoulder lightly into her friend’s. “I’m sure you’d have fooled the humans even without the watcher and the—waistjacket and coat, or whatever those were called.” Not nursing at the time, Seriola had gone as a man, as that was who humans would tell about machines, apparently.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/swimming-apart/
QLFjfwdL/QYoj0LWga5bjALu+PE=,Recapitulation in Steam,Margaret Ronald,2022-11-18,,"Izzy pushed himself up, trying to see. A flickering light like the reflection of moonlight on the ocean cascaded over the hall, and through it shadows darted like knife-edged fish—Society guards, he realized a little late, moving between him and the light. A gentle roar and boom heralded the trundler automaton's actions: settling down again, after whatever it had done to contain someone.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/recapitulation-in-steam-by-margaret-ronald/
Vr5K/qH1fcjMq6cdjsldwHVRtzw=,Uncounted Leaves of Ends of Camelot,R K Duncan,2022-07-29,,"The sap and time flow up, and Arthur pushes to follow, wills Merlin to guide him up the spreading branches to an end where Camelot stands past his death. He passes up through many interlacing threads of possibility. Sometimes wine is sour in his mouth as he learns of Gwen and Lancelot, sometimes he brings Morgause to court and lavishes every advantage on the boy who grows into his pale reflection, sometimes he does the deed he is here to atone for the thought of and sets Morgause and Morgan hard against him. No matter what the windings of the track, he sees the fire and the bloody clash of steel at Camlaan crimson on the far horizon.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/uncounted-leaves-of-ends-of-camelot/
QH2QDmcI18PkvbpmBd7kzRu8r+w=,Defy the Grey Kings,Jason Fischer,2015-08-22,,"I was born a slave, like all of you. My master was a hoary old bull known as Ascaro, one of the Bull-King’s champions. Twenty feet high at the shoulders, and even past his prime he was a quick devil, though old trunk muscles were turning into fat.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/defy-the-grey-kings/
iBUe7OKqwYC0n/2ZrFDvrYv8lqc=,Worth of Crows,Seth Dickinson,2013-02-06,,"Death circles the tent. She sees the shadow of antlers, tangled like the grove beneath her study in the towers she betrayed. You cannot save him, Death whispers; not forever. But perhaps you can save yourself. Is that why you nurse him with the warmth of the souls of crows? So that you may save his life, and offer it to me? Will he be the payment for your debt?",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/worth-of-crows/
8UlvUYR4oRijK40IuLVoLbq2CcM=,Artificial Nocturne,E Catherine Tobler,2013-07-28,,"Once home, I cannot stop thinking about two things: the bird and the poster. I am not sure which one disturbs me more. I don't tell anyone, not even Gordon. He doesn't speak to me of what we saw either, but there is still a conversation there, every time we look at each other. In his eyes I see the same thing that must linger in mine. Questions and hurts. Have we been made only to be sold?",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/artificial-nocturne/
bY1wmHMh1tUMhqsn926DheAou7M=,Their Eyes the Shape of Orchids,Eleanna Castroianni,2022-08-25,,"Something in your mother's acceptance of my cruel words makes me see how, for a moment, I am the pathetic one. I’ve seen those eyes before. I’ve seen them on the faces of Surna girls who come to me to do the dampening and I know they’re carrying unwanted Innachor children inside them. In her eyes, I see for a moment how even the lucky ones who are pretty and pass and marry into Innachor upper ranks—sometimes, even those with a good life and caring husbands—are still every bit of Surna fate.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/their-eyes-the-shape-of-orchids/
yo+ACG+Ts+O1q8CaJ35f3p04Z2k=,"Dancing the Warrior, Pt. I",Marie Brennan,2011-04-07,,"By sheer force of will, Sen forced herself upright. She hadn't won; that much was clear. If that had been the Grandmaster's test, then she'd failed, and this had all been a waste of everybody's time. She couldn't look at Kerestel, at Criel, at anything other than the Grandmaster's feet. The silence stretched out, harpstring-tight. And then he spoke, his mild voice betraying nothing more than it had before.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/dancing-the-warrior-pt-i-by-marie-brennan/
oLuOZwRBTLa6AkVbikuYFOQNiy0=,Degeneration,Dominic Wright,2020-11-01,,"I had to remonstrate with the Artisans over the coffin. They wanted to apply only four layers of lacquer, arguing with great impudence that it would suffice. I informed them with no uncertain terms that, though the Barbarians were at the gate, this was no license to degenerate to the level of savages ourselves. Seven coats of lacquer should be considered a bare minimum, and for the quality of wood I have supplied and the cost of the preparations, some might consider seven coats sparing. I have started to regret engaging them.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/degeneration/
QuI3dQF2uLF1gkpAf94YElYXaHE=,Imagine a Thief with Golden Fire in Their Voice,Riley Neither,2022-08-25,,"But what plagues me now, the questions I ask myself as I stare down at her little violets, as I sense out the elements in the earth beneath their roots until I can feel the cold charred edges of her bones and assure myself that that is all that remains of her—those questions are these: is it different, to withhold life than to end it? What moral obligations does my power come with? And, more selfishly: if I don’t bring her back, how long until her followers turn on me?",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/imagine-a-thief-with-golden-fire-in-their-voice/
DRe0ffhRJv3W2fmC1ABjSGtlPgk=,Rich Growth,Aliya Whiteley,2022-11-18,,"But now, as I age and see the beginning of personal withering, I find I want to know that this patch will be tended once I lie down and die. So I’ve saved enough for a child of my own. Thirty gemflowers. There must surely be somebody out there who will exchange their own treasure for such a fortune.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/rich-growth/
EOzH2+wXMjussMS7ormcE3HpIGk=,The Isthmus Variation,Kris Millering,2010-07-02,,"The true story the Slow Game tells is depicted in the scenes that are enacted as we players meet in the maze and move towards the central tableau. The audience members meet with each other, share what they have seen and try to decipher the overall meaning. The Slow Game moves ceaselessly, a great beast that never seems to shift and yet is never in the same place twice.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-isthmus-variation-by-kris-millering/
IvjKVi7Sw92IdyylGbsDKoKJtEw=,The Influence of the Iron Range,Marissa Lingen,2017-12-23,,"The town bandstand has medallions of iron recently emblazoned to it; in the last twelve years since the Hayes election, all respectable towns have added them to the places where politicians might speak. But those are only enough for the local offices. The mayor, the city council. Any redcap or jenny-greenteeth might slip into one of those positions, were the local election commissioners unwary; might find a way around the medallions.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-influence-of-the-iron-range/
dsvIFBBaPdNC/JZ+qReFWfXCxZQ=,The Judgment of Gods and Monsters,Kameron Hurley,2016-05-27,,"She shouldn’t have gone to the trial, or talked to that stupid reporter, even for a second. Her father would know, now, that it was her who had his file. It was her who had been called upon to bring him in. She wouldn’t have shown up at the trial otherwise, and he knew it. “Two bits to the one whose family it isn’t,” she said to Merriz, and rolled up to get a look at the shooters.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-judgment-of-gods-and-monsters/
D92pLQx+5hQg1UXpVXF2Qca9N0c=,The Wyvern Rider and Those of the Land,Jeremy A TeGrotenhuis,2022-11-18,,"There is an ache within the Captain. A silence where a voice of wonder and curiosity should speak. The absence left when the Machaenum stole their soul of air with a blade of liquid light. Veled, the fourth quarter of their being, who had longed for the vastness of the world. Now they are only three.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-wyvern-rider-and-those-of-the-land/
oOjuRSlMMvNB97GDm2iPYFXt0gk=,Drawing The Barriers,Tamara Vardomskaya,2022-11-18,,"Nonar leafed through the pages of the notebook, trying to connect with the long-ago long-dead engineer who had worked with a different magic to sew worlds together. The drawings there were precise. Free. Accurate. Really, what harm would it do if she drew? What harm would it do if she couldn’t draw?",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/drawing-the-barriers/
6yMLFOAzF5huava6J8h7HQF03vM=,Laws of Night and Silk,Seth Dickinson,2016-05-26,,"This is how an abnarch is made. This is the torment to which Kavian gave up her first and only born. The wizards of the Paik Rede, dam-makers, high rulers of isu-Cter, seal a few of their infants into stone cells. They grow there, fed and watered by silent magic, for fifteen years. Alone. Untaught. Touched by no one. And on nights like these, their parents decant them for the war.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/laws-of-night-and-silk/
kp07+O6KJYUeBi1LcrEjbSVnniQ=,The Patchwork Procedure,Claude Lalumière,2016-08-24,,"So lost in thought am I in my cell—pondering the many unintentional wrongs I've committed toward my biological father, wondering if perhaps my behaviour was never as unintentional as I like to believe—that it takes me several minutes to fully grasp that there is a great commotion afoot: shouting, screaming, explosions, and other sounds of battle.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-patchwork-procedure/
JYsMG7F4GVDH0O3RpkJD5TIpNWE=,The Edges of the World,Grace Seybold,2022-11-18,,"Today it’s the moon that has him thinking of long ago, but lately anything might do it: leaves blowing over the river, the goosegirl driving her angry geese along the road, the clatter of hooves on the bridge. The turtles. He built the turtle pond in the first month of his exile, a gesture of defiance: you will not make me other than I am! As though anyone in this district would understand the pond’s significance to an alchemist, or care.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-edges-of-the-world/
P92FAD6PvHt/eT50wD8UOkbsuBw=,We Ragged Few,Kate Alice Marshall,2018-10-14,,"I looked at them each. Hard, well-blooded men and women: those wearing Talgrun’s iron yoke, eager to break it, and those with faces tattooed as mine was with the seventeenth knot, the sign of our holding. The fiercest of the holdings, the strongest. We who had lifted our beam half a league from the narrow place, unknowing; who had been harried by the gray more than any other holding and never broken.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/we-ragged-few/
8Nsmu6nkNo4TXz/5OVsEp9XizRI=,Girls with Needles and Frost,Jenny Rae Rappaport,2022-11-18,,"That I want her to come back. That I'm not sure her contacts will trust me. That I'm not able to balance being me and being an informant for Maksim and not telling Elzbet anything and sewing violet stars and leading a silent revolution. That I'm not sure I can see it through to the end alone. That all of this may be the price that the dragon demands, even if it isn't here yet and may never come. That maybe the only way forward is to let the pressure chew you up until there's nothing left, and that's how you win.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/girls-with-needles-and-frost/
2a8iWqce31KFkw9bApwKDCEj0B8=,On Freedom of Agency and the Finding of Lost Hearts,Ken Scholes,2022-11-18,,"I thought about hitting him and taking what Gilga-Yar was after. But this old man had me curious, and my patron’s lack of forthrightness with me made me want all the more to know what was going on. So I took the shovel and the knife. “What am I doing with these?”",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/on-freedom-of-agency-and-the-finding-of-lost-hearts/
CQrNVz8DlYqMqXs88+vEM03zBxA=,The Deepest Notes of the Harp and Drum,Marissa Lingen,2019-01-19,,"I killed my sister with my own two hands. I am not sorry for it; she lied and cheated and stole, and if it had not been her it would have been me. Blood does not mean only one thing, the same across all boundaries. For my sister it meant nothing until I spilled hers, warm and wet and surprisingly copious, up to my elbows in it. Though I loved her, I killed her; though I loved her, she did not love me.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-deepest-notes-of-the-harp-and-drum/
vIBTqpH4VzBLnk3jWeakpzu7V+E=,Out of the Rose Hills,Marissa Lingen,2015-05-26,,"Tirene was so relieved not to smell roses upon waking that she almost found it difficult to care whether they would be able to find magic or metaphor to get rid of the shadow lady. This pleasant sensation was dispelled halfway through her breakfast of oat cakes, maple syrup, and berries, when the shadow lady swept into the sunny taproom.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/out-of-the-rose-hills/
MndprJOK13OhBqfo32rBpaV/pxQ=,"Do Not Look Back, My Lion",Alix E Harrow,2020-04-18,,"Eefa looks back. Talaan is bed-tousled and half-dressed astride a yellow mare, her hair a tangled mane behind her (how many times has Eefa combed that hair, gently, in the glow of the fire?), her robe fallen open to the chest (the laundry Eefa washed the previous day, folded with lavender and cloves). Her feet are bare. She does not seem to feel the white-toothed wind nipping at her flesh.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/do-not-look-back-my-lion/
