fingerprint,title,author,date,tags,excerpt,source-hostname,hostname,source
OM89MGlD+OHSSkf6ZZu6A0HZ6UE=,"Golden Daughter, Stone Wife",Benjanun Sriduangkaew,2022-11-18,,"“Golems,” the sorcereress says, “are vessels of wishes. When you’re done building one it is as if you’ve given birth. When you take one in it is as if you’ve adopted new kin. You put so much of what you want into them, just as with offspring of the womb. Less blood, less mess. No less love.”",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/golden-daughter-stone-wife/
/8yg3+HfGJeaSynSwF7x4DIEgXI=,The Unborn God,Stephen Case,2014-07-05,,"The wizard’s house had drifted with herds of cumulus for a hundred years over the low sky of the Shallows. When I looked down from the windows, it had always been onto a patchwork of rolling hills, farms, and small streams. Now that had ended, and the land fell away in dizzying cliffs. I had lived my entire life on a mountaintop and never known it.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-unborn-god/
ruXRk9g2G5Ta7wZSzXWv1LTtxN4=,Memories of Her,Greg Linklater,2011-04-21,,"I take one stone hand in the other and unscrew it. Inside my hollow wrist is a padded pocket. A mantis scuttles out, tethered to me by a chain as fine as hair but stronger than anything I could name. It scurries up my arm, across my cheek, and props on the tip of my nose. “Time now,” it clicks. “You go.”",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/memories-of-her-by-greg-linklater/
Vp5/lx7aiHBnv/t6LGCiiNsUobM=,One Found in a World of the Lost,Shweta Adhyam,2022-11-18,,"Desire exploded in the girl's heart at the mention of safety and stability, rest... She quashed it. What would she do in such a world? She was a hunter. But these were gifts that would benefit her pack, gifts worth taking risks for. Even if they came with a large sense of foreboding. ""Can you make me invulnerable?"" she replied, giving in to the image of her death, the boar's tusks sinking into her and what it would mean for them all if she did indeed die.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/one-found-in-a-world-of-the-lost/
46auEKCnkLNxvCffOrIXkqkWJxc=,The Drowned Man,Laura E Price,2013-05-13,,"""I don't rightly care where he came from—he's one more person to keep watch on."" Gwen nudged Corwyn toward the stairs that led belowdecks. Her voice was dark as she added, quietly, ""I am not fond of new wrinkles on a job.""",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-drowned-man/
Oaye00eNDwQcoWEHxvmzQHw6zfs=,The Sixth Day,Sylvia Anna Hivén,2015-08-29,,"If I take my shoes off and curl my toes deep into the dirt when I walk around the field, I can raise the corn a quarter inch a day, so long as I make sure to touch all stalks I pass. You'd think that's an amazing talent, especially in a place where the other fields around our farm lie dead. But ain't nobody noticing a lick of what I do—not when my sister can travel into the ahead and tell us how to keep the stretch away.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-sixth-day/
gCY3iLmIXhX+3HWhxoK0Qyyk08g=,The Shades of Morgana,Dean Wells,2010-07-30,,"Sully could practically feel her glance brushing along his skin like silky smooth lips. It could, more to the point, the thing inside him, exploiting his senses as if they were its own. She stood and stretched, then strolled to the doors of carved tulgey wood that opened into the mews outside. Sully caught her fragrance, the scent of her feminine places, a smell of spice and rich dark petals of bloodleaf. “Sabrina? Don’t get too close.”",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-shades-of-morgana-by-dean-wells/
uPcBqad3AroA5m+KetYhHfAKUvA=,"Under Their Wings, These Starving Ghosts",Grace Yang,2022-11-18,,"The first thing he feels after being brought back to life are the gentle strokes of wispy fingers trying to touch him. They clamor around his body—weak voices in his ear imploring him to describe every delicious detail of what he can see and feel, when he breaks through the surface of the world gasping and sputtering for air.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/under-their-wings-these-starving-ghosts/
yyuiF3v4YyhwfHeAswwnkb22krg=,Moreau’s Daughter,Holly Messinger,2013-11-29,,"Lily stretched her aching legs to the opposite end of the tub. The sheen of water accentuated her scars—thin, precise lines tracing the insides of both arms and legs. She worked her limbs daily to prevent their stiffening and contorting, but even with diligent chi practice the pain was never completely absent, only sleeping. Lily thought it far more likely that scar tissue would catch her up before her reputation ever did.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/moreaus-daughter/
W71sh2rlw0Fzqc+Tt/rRsU636Ds=,A Land of Blood and Snow,Cooper Anderson,2022-11-18,,"While we waited for the hourglass, the blacksmith dug a line in the snow with the heel of his boot. This would be the starting point. Until the final grain of sand fell to the bottom, the prince could not cross it. Some of the older boys had once told me that the sand inside was the long dead ashes of Dracula himself, but I don’t know if I truly believe them.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/a-land-of-blood-and-snow/
uh5W1zSXdkgMoE3V8pDHGJxfNsA=,Five Fruits I Ate in Sandar Land,Michael Haynes,2014-08-11,,"The man hesitates a moment, looking me over. I will eat the core if that is what he demands. I have come too far not to keep going; have yielded what little I was born with except my honor. If I stop now, I will retain nothing.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/five-fruits-i-ate-in-sandar-land/
DhQZ/knF0AnFH9XLNEcJdvtqRX4=,Forgive Us Our Trespasses,Bennett North,2022-11-18,,"My prayers are automatic, the movements worn into my fingers. With each Hail Mary and Lord’s Prayer, I can feel my shoulders tense. I haven’t had confession since I left the convent. Haven’t taken communion. I say my prayers, but when my mouth shapes the words, they come out tarnished. There’s nothing holy in this path on which I’ve set myself. I remember his teeth.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/forgive-us-our-trespasses/
dg+3WkIW3YRPbra8rHS41aZSzrU=,Fire and Falling,Andrew Dykstal,2020-08-16,,"Mir slept lightly that night, her back to the bulkhead and a knife in her hand. In that strange region between sleep and waking, a curious doubling overtook her thoughts; an awareness of things her reasoning mind would never have accepted. She woke in a sweat, gasping. Dogwood was still asleep. Even so, Mir felt the pressure of eyes, or the focused awareness of something that lacked them. The feeling was—what? Reassuring? Comforting?",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/fire-and-falling/
BWE4imd+869NPZbQ07XBm6UDVv8=,Who Goes Against a Waste of Waters,Eleanna Castroianni,2022-11-18,,"Every day, we walk the graveyard grounds, back and forth, in search of this cursed grass. Mother used to say the graveyard is as big as a continent that only gets bigger; that we have to cross oceans of sand and swamp only to find new ghost-grass. This year it rained only twice, and Who Tames Lions and I walk farther and farther as our sheep grow weaker and weaker.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/who-goes-against-a-waste-of-waters/
1DE/4KGhTr7BtCXRmMgUcdN02Uk=,Architectural Constants,Yoon Ha Lee,2020-10-14,,The Spider stepped out of the gate. She was a stooped woman with dark hair. The sockets in her face were empty and scarred over. She wore gloves that were cut off at the first knuckle. At each fingertip was a tiny glittering eye.,Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/architectural-constants-by-yoon-ha-lee/
CGPonBKvdbNz7dJ3gY8TDDPWOaU=,Masks of the Mud God,Greg Kurzawa,2022-11-18,,"""No,"" Miriam said. But there had been pain. There had been terrible pain. She had bit down on a twisted sheet as her insides knotted, as the thing in her lurched and fought to live, flexing in the throes of their shared agony. It had gone on far too long, and she remembered thinking that either it must die soon, or she would.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/masks-of-the-mud-god/
OyLhWGv/T/9Y2VjxuxHP471Fr1k=,The Magic of Dark and Hollow Places,Adam Callaway,2022-11-18,,"He reached to his shoulder. His uncut nails dug into the pulpy mass of muscle and tore downward. A ripping noise stopped every quill. Blood the color of a blind man’s dream flowed down his flayed arm. He took the mass and wrapped it tight around the girl’s head. Muffled screams seeped out, even as the Inked Man’s arm began to repair of its own volition. The girl kicked and clawed and scratched and was still.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-magic-of-dark-and-hollow-places-by-adam-callaway/
o8jK8zIYK9Jm/UyiDge1hIgGat8=,Ten Fruits and Other Memories of Rialynas,AnaMaria Curtis,2022-04-10,,"When I recovered, I tried to peel a berenton myself. The skin of the fruit seemed to harden wherever my fingers landed, showed sharp scales everywhere I moved my thumb, made a bloody mess of my hand. When at last I wrestled the flesh out, it tasted of nothing at all. The flavor of a berenton is determined entirely by its surroundings. Alas, in Rialynas I came to find that I was the same.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/ten-fruits-and-other-memories-of-rialynas/
xt7hX5UVpRfCmcjw6im4UMOVltY=,Shadow’s Weave,Yoon Ha Lee,2019-01-20,,"Tamalat studied Brio. He wasn't going to thank her when he woke up. She didn't feel the least bit sorry. ""He was a better man once,"" she said. She remembered the war; remembered the snow churned to red slush, the arguments between Brio and his brother the commandant. ""He left his shadow behind when he went into exile, thinking to start anew. It didn't work the way he intended.""",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/shadows-weave/
2f54QlXnPU+GJBK149FGcEzOx7g=,To Slay with a Thousand Kisses,Rodello Santos,2010-03-06,,"Her age was impossible to say, for her face was crusted with muck and roots. Her teeth were like kernels of mottled corn. She was naked, her skin textured like stone, gray and gravelly. Wet, bulbous mushrooms grew in the moss around her womanly crevice. Her reek nearly brought me to my knees.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/to-slay-with-a-thousand-kisses-by-rodello-santos/
