fingerprint,title,author,hostname,date,categories,tags,id,license,comments,source,source-hostname,excerpt,filename,has_text
oj8OQCcfjjZSeYx+cIs9+OGzLD8=,The Sanctity of Marriage,,,,,,,,,,,,./scrape/jsonfiles/S7SGtmAbfBZwBeLyeXH9EGmNy0U.json,True
i34iWYK1Ok8Zr8DSz1aWOjoxaX0=,The Indian and the Fortune Teller,,,,,,,,,,,,./scrape/jsonfiles/ESiuQHSMIdXKVP9DyaaPxv7N61Q.json,True
Oyu/bfTGjBZshcO6pbaeVwxxA5M=,Rhonda Eudaly,,,,,,,,,,,,./scrape/jsonfiles/TzPiprmT0oGydUfGZugp7lh704U.json,True
eIGmqRyZ7sMzsKnKV7vkUZ4N5jk=,Designed Development for 5th Story,,,,,,,,,,,,./scrape/jsonfiles/ZCAfktrEYNUvdmiWiEjxxOgif4k.json,True
zn5UJ0cT0+I/rc4lFB+7hMQM8vw=,IT’S NOT AS BAD AS YOU MIGHT THINK,,,,,,,,,,,,./scrape/jsonfiles/xlXdSDxrd9bA1ls+fd9U8z4ZblI.json,True
gfdUIfZKxICpq2qE2Rl6MayrmwY=,,,,,,,,,,,,,./scrape/jsonfiles/JXNbmVc1+nW4ctuARbOySwIDzws.json,True
aEec7AmiCvjhLAAIWI39u4lVY6g=,Mr. Moore holds a very skewed view of reincarnation…,,,,,,,,,,,,./scrape/jsonfiles/pu+9z1LC--ke9Bx6fkj5usp-D1I.json,True
tQ8ZtawgOVNpkqrhq6W01Oafmws=,Mr. Burger tells a tale to warm my heart. I love stories about my home…,,,,,,,,,,,,./scrape/jsonfiles/T1jMWfhdxtmETHrCZBLtsAXw6Cg.json,True
582uANgX87qPsFA1rR/wUnd7BgE=,II,,,2012-01-01,,,,,,,,,./scrape/jsonfiles/wr5rky413BnyxHqOd5X1Y5KitQk.json,True
eY0O47m4JGlMdCoknYMQTJRKP+8=,FALLEN,,,,,,,,,,,,./scrape/jsonfiles/pGq0QMb+etsPy+kCo-Y7ALW8huI.json,True
e4fSRD0+R1yDVkUPGwylKlqwH9o=,,,,,,,,,,,,,./scrape/jsonfiles/3duM2t1DjCvo2M+nmkurq+GkXgM.json,True
GHv7Ei9H6sEVrmI6hY8AC9CRDRk=,By,,,2005-01-01,,,,,,,,,./scrape/jsonfiles/L3pLvAOQaGLwN9U9Jx+k4J+UFqk.json,True
HTD/WfLi8tCTk2Jnb0ehSF48QSI=,The Man That Time Did Not Forget,,,2000-01-01,,,,,,,,,./scrape/jsonfiles/+iFDuLebACedLv-VCaPXFSHqTOQ.json,True
NUhyHg4uRzH+hj5aCj4I/405S5w=,He shifted in the old rocking chair; the creak of the wood matched by the inner creak of worn metal,,,,,,,,,,,,./scrape/jsonfiles/AtyUUveoqFxNN5-uUIkcnmafCDY.json,True
6DEVDzwOHoTOM0EgBZybR3MeIww=,The Corners Of Things,,,,,,,,,,,,./scrape/jsonfiles/MzKvuaI7tZ94wdPmv9vX5aqLIno.json,True
UUZJyxoi2+SNnO8pZwhIJnm3sAI=,Witch’s Bargain,,,,,,,,,,,,./scrape/jsonfiles/VeRM6V7pG7UvHATbJHBtaFHuZes.json,True
rX5/G6hSa/HS99KoIlJe4Ismqbo=,WHERE WE FIND OUR LOSSES,,,,,,,,,,,,./scrape/jsonfiles/THml57Cddm6gzKzN5CxCQOBjgmw.json,True
f2twrxfk4aPdGsUenDLfdxN4dQY=,For You There Will be Dancing,,,,,,,,,,,,./scrape/jsonfiles/ahc9B47BJgBm5gsjOB1L0ZLbdD0.json,True
oPO4vPQCpFO9tsWc3rvvtcJYAck=,AERIE,,,,,,,,,,,,./scrape/jsonfiles/oWh3T2NdvBpuXNQ5jrCfdM7Mf7s.json,True
ujHp12unETK0RaswX5sbS9jWxFA=,Brain Dead,,,,,,,,,,,,./scrape/jsonfiles/GlxTp9cEyj-Sx1xZt6+ibf-l3H0.json,True
xSvqNNU0z6ZqF7yFSZh+0nE2Xf4=,Mr. Tremblay brings us a story where it is painful to… ahem… get the point.,,,,,,,,,,,,./scrape/jsonfiles/QYkcr8KUy0Gg9-N3i3mHvW8nSEE.json,True
yVn1Im8bsMLyyw3PSc1+1VlM1rY=,Mr. Laing makes me want to go back and double check all of the old family photos…,,,,,,,,,,,,./scrape/jsonfiles/phGDAoz4jVC1OEMU1V-MnskS34I.json,True
GKsAk3dBa9Gc+KOalMhSIWL8th4=,Abigail,,,,,,,,,,,,./scrape/jsonfiles/OEF6i2LjYD4R09tN4aZgCkNzQ+Q.json,True
BshuVs9nYEfZyh3UC93jzz64tDg=,,,,,,,,,,,,,./scrape/jsonfiles/uPlhqP4TH79qubKKpycJ1fKOFsE.json,True
9XsMmZQ4iYsI9384eia6/w20Mdc=,Jeremiah Chiappelli,,,,,,,,,,,,./scrape/jsonfiles/72VA12k5MhmCtCVE9+82zyvrNf0.json,True
OkCer8yufZKrZJXL6enlH6xGzvA=,"As old Bill once wrote “to die, to sleep; to sleep: perchance to dream…”",,,,,,,,,,,,./scrape/jsonfiles/gb6xXJYSXz-7ugqEosAlFzboXmY.json,True
D4H4uSy1gdQiKFRQilgZuviVDDc=,Duplicity,,,,,,,,,,,,./scrape/jsonfiles/vcKbE9mPR3K0wFJQc781vweFE6E.json,True
sLQE58UZIEFg9OWR7Kt/GD/Pm1A=,Today I find myself living a day I will never forget,,,,,,,,,,,,./scrape/jsonfiles/Fny6Myznq0b05uINsS-WL1G+7a8.json,True
9dqaVT8/+zUlTLRyP0ff6LG5WZE=,Copyright,,,,,,,,,,,,./scrape/jsonfiles/5sKB6p996sjcNf2mdNSPtku-Nrs.json,True
SSiMR1M+CyFfQ2hQ3BFUIkdCTJA=,"White Whale, Golden Gloves",,,,,,,,,,,,./scrape/jsonfiles/+rASxgfHkz+JGrfLb1uQQ79Iuw0.json,True
TpT7XycMG9odoH+JYGsXgeOvb0s=,"“So,” I finally asked, “how long have you been dead",,,,,,,,,,,,./scrape/jsonfiles/XQq4GDTcrU5IUm+sOG4nQ9oS9YQ.json,True
2hidsdPBr2iA8myx122zX8a/3VU=,Hyper Freud,,,,,,,,,,,,./scrape/jsonfiles/LOXbMd7uLXFj+5mlAxfPRBmjpQ8.json,True
/ibxhqxUTtbYtnEKY2qHIxuEdJ4=,Timothy Mulcahy,,,,,,,,,,,,./scrape/jsonfiles/02pt8a4x3NqiBA0EyOEsQ7qeSPM.json,True
JPgkREf4glPfr2gwYhr7KeIvGck=,"Mirror, Mirror",,,,,,,,,,,,./scrape/jsonfiles/1r3dYxeFD9m1NA3zOtzmquQyN44.json,True
qE0BrlgSEtyxdbIcOiF9qhRGrx0=,Four wheels and checkers,,,,,,,,,,,,./scrape/jsonfiles/1paZqnQn-Z2YuTgQ0EcFm0jX3JM.json,True
/Q7wcMGx+tOMXkXd0QMDplmXCAw=,Lt. Salt,,,,,,,,,,,,./scrape/jsonfiles/8Rjzpj8j-VmZveFclYZyJZGwfB4.json,True
I1BFsVJpOkZQlYZ2Hiy0udHoJqE=,,,,,,,,,,,,,./scrape/jsonfiles/pqlfwA7PD5edh+q7v2t9mnFLqhM.json,True
jqlDHVHDl06cdhrF0ZMubnBHbb4=,"Dear Cheryl,",,,,,,,,,,,,./scrape/jsonfiles/GBa0tj+RDs940AzdKX+JppIJc1I.json,True
fXklEiiNSD4m4awo8iy36LIvCSk=,Hand to Mouth,,,,,,,,,,,,./scrape/jsonfiles/yVq21f2+LYA-NDa6c1LG1Ghuij0.json,True
WE/RHuGG+QxKKSiDe1nLseMCSX0=,Table of Contents,,,,,,,,,,,,./scrape/jsonfiles/nQc7teeDwRH0+uM6HU5cKFPhqQw.json,True
lDPcnSZKeLyr3zD2+K0PoTDJIY0=,,,,,,,,,,,,,./scrape/jsonfiles/fVSb8iea24Y7KsQ0COkaHRxv9Ks.json,True
kGaB7Iwn9LM82IEI8ku5FG9L3XA=,The Princess and the Frog,,,,,,,,,,,,./scrape/jsonfiles/SB2imvwGpU6wssdhXOrNhM9mUIE.json,True
823vzDhbajHvwHkSqsajcxX0NCQ=,“Good morning sir,,,,,,,,,,,,./scrape/jsonfiles/w0TMMIDN2QrmJS-d8UrrOG3VkNE.json,True
tV84F7YvylfuWw+HR9+HgIKbGPQ=,Bruce Boston,,,,,,,,,,,,./scrape/jsonfiles/IFlsav3tHD3NKYdCFttznquzN08.json,True
MMQHfs+U+x5ErQdEpmdsyJcFEi4=,UNWOLD THE UNLUCKY,,,,,,,,,,,,./scrape/jsonfiles/yfNj3ax3b3ANwDkoP0mNvRCRq9A.json,True
GH8qWcDpNGeYGGcTgvQvt+5gPuM=,"Eric Del Carlo 5,800 words",,,,,,,,,,,,./scrape/jsonfiles/aXZjpCgX0oJX5Y2F95McbMFHjJs.json,True
E9tWSq2k9dZHCVRa7ib64sdTQIA=,oNov,,,,,,,,,,,,./scrape/jsonfiles/q9sP6D8Rg6pXBoq8MOcPnx+IOR8.json,True
c4d/woxKTMzX2G1NnhVEqV7XGgY=,GENESIS CAVE,,,,,,,,,,,,./scrape/jsonfiles/3V0BYUccxikl45KWPJzCEytyuoo.json,True
F+IYcpguuy2zeXKYLUeOVACL35w=,Tyree Campbell,,,,,,,,,,,,./scrape/jsonfiles/c-WDcgEUrqLRbjJYL59FbCeSwcg.json,True
JWVkVgfsu4+6/nOCJO3j+bAc8WM=,* = tentative name,,,,,,,,,,,,./scrape/jsonfiles/J9s6RYsVsGHyPWSaey+kb6zRShY.json,True
KPnfrl3NC2pez5WrTq+oql4qxz0=,Manuscript Template,,,,,,,,,,,,./scrape/jsonfiles/Za8WcDckKNoAYoTZ7gbhIvfb2+s.json,True
nLH2+RN7m921Wf2XYUSXngslQrM=,,,,,,,,,,,,,./scrape/jsonfiles/oQCPAIO4BfSVuj5Z13aaHTNNG3U.json,True
3G02dW8DXJvYFyjNx35o+OR8vuo=,Class,,,,,,,,,,,,./scrape/jsonfiles/hc9yreABa71TdS9QiBOVzcj5ewo.json,True
TG0OCRfpdJhrcNUBQiCJzWuiff0=,THE STATUARY CATS,,,,,,,,,,,,./scrape/jsonfiles/PwuUuviwE+MOtb0qP3mVqpvW9IQ.json,True
a5a5929JQSGY6a03aCjlvJs2/vM=,Gustavo Bondoni,,,,,,,,,,,,./scrape/jsonfiles/GOJZmuR96T6bTcN7EasnYWHY97o.json,True
